Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Program Management for IT Professionals (2018),"<p>The failure of large IT projects can take a devastating toll on a company's finances, as well as employee morale. Program managers—using their unique blend of project and people management expertise—work to avoid such botched projects by effectively managing risks and breaking down unwieldy projects into manageable tasks. In this course, learn how to successfully manage large IT projects—from the planning stages to a project's release—by learning the basics of program management. Instructor Hubbert Smith helps to equip you with the hard and soft skills you need to excel in this challenging, in-demand career. Throughout this course, Hubbert shares real-world examples as he steps through each of the phases of program management, from concept development to delivery and release. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/servicenow-it-leadership-professional-certificate"" target=""_blank"">Professional Certificate</a> from ServiceNow.</p>",Course,2024-08-29 13:45 UTC,N/A,false,N/A,
Drawing Foundations: Figure,"Learn the foundations of figure drawing: techniques for bringing the human form to life on paper. Artist and teacher Amy Wynne breaks down a classical approach to figure drawing into simple steps: capturing gesture and motion, mapping out structure and form, understanding the common ""landmarks"" of the body, drawing proportionally, and adding volume with shapes and shadows. Filmed on premise in a professional art studio, this course shows how to work with live models and different drawing materials. It's ideal for beginners who are just learning to draw the human figure as well as experienced artists who want to brush up their drawing skills. Follow along with Amy's tutorials and then use the worksheets and sample poses in the exercise files to practice figure drawing in your own time.",Course,2020-04-14 17:04 UTC,N/A,false,N/A,
HTML5: File API,"Join author Joe Marini as he demonstrates how to use the HTML5 File API to perform file-related operations from within a web page, including manipulating files, reading and accessing data within files, and retrieving information about files. The course also covers how to complete tasks that were previously only possible with native code, such as picture processing, file conversion, and content checking.",Course,2018-08-28 18:48 UTC,N/A,false,N/A,
Learning Bitcoin and Other Cryptocurrencies (2018),"Bitcoin is a form of money that only exists online. While it's making headlines around the world, many people don't really understand how bitcoin works or the underlying concepts of cryptocurrency. In this course, Tom Geller demystifies bitcoin, revealing the promise and perils of the new crypto economy. Tom begins by explaining what bitcoin is, how it originated, and how it compares with other cryptocurrencies. Next, he explains how to get started by creating a bitcoin wallet, buying and selling bitcoin, and protecting your transactions. He discusses other top cryptocurrencies—Ripple, Ethereum, and IOTA—and explains how ""initial coin offerings"" (ICOs) have changed the investment landscape. Finally, he covers bitcoin mining, threats to the bitcoin economy, and how to connect with others in cryptocurrency communities.",Course,2020-04-19 22:50 UTC,N/A,false,N/A,
Creating a Responsive Presentation in HTML5,"Follow along with author Justin Putney as he uses open technologies (HTML5, jQuery, and CSS) to create a dynamic presentation slideshow that responds to mobile and desktop layouts. Learn to customize the slideshow to fit your next project, and to display artwork, photography, and other kinds of content.<br><br>

Discover how to structure the HTML and slide content; design the navigation to react to clicks, keyboard input, and swipe gestures; and use CSS to customize the slide display for different screens and animated transitions. Justin also includes a series of challenge-and-solution pairs to test your skills.<br><br>

Then, when you're ready, watch the <em>HTML5 Projects: Creating an Advanced Responsive Presentation</em> follow-up course to enhance your web presentation slides with audio, video, and an automatic playback feature.",Course,2018-08-26 15:38 UTC,N/A,false,N/A,
Brad Feld on Raising Capital,"To get a business off the ground or take it to the next level, entrepreneurs often need extra cash. Venture financing, where money is raised from venture capital firms or individual investors as opposed to a public institution like a bank, is a popular avenue. But how do you decide if financing makes sense for your business? How much money do you need? And who do you ask? Brad Feld is an investor who has overseen thousands of rounds of venture financing, enabling companies like Zynga, MakerBot, and Fitbit to grow from startups to established enterprises. In this course, he walks you through the process of evaluating, finding, and securing funding for your business. Learn about the different stages of financing, the many types of investors, and different avenues of funding: traditional convertible debt and equity and newer practices such as crowdfunding and pre-sales. Brad helps you zero in on a solution that's right for your business and develop a mindset for success.",Course,2021-11-10 15:02 UTC,N/A,false,N/A,
Raspberry Pi: GPIO (2016),"The Raspberry Pi talks to the outside world through the general-purpose input/output device, also known as the GPIO. This course describes these pins and explains how to use the GPIO to control lights and motors, read data from sensors, and interact with the Internet of Things. It combines some hardware basics—identifying pins and working with breadboards and components—with some programming in Python and Scratch. Author Mark Niemann-Ross also shows how to go deep into WiringPi, a GPIO access library, to experiment with pulse width modulation. By learning how to control input and output through GPIO pins, you'll open up a whole new world of electronics.",Course,2019-06-16 17:20 UTC,N/A,false,N/A,
Managing New Managers,"Managing new leaders comes with a unique set of challenges. Even the most outstanding individual contributor can struggle as they unpack their new role and tackle their increased responsibilities. In this course, learn how to support and inspire new leaders as they make this critical transition. Leadership expert Sara Canaday shows how to identify the unique perspectives and challenges of your new managers, set the expectations for their transition, provide coaching and support, and cultivate the right conditions to help them succeed.",Course,2019-06-14 09:52 UTC,N/A,false,N/A,
Selling to Executives,"Selling to executives can be challenging. Many sales reps struggle to close deals with this high-powered—and occasionally intimidating—portion of their clientele. For the last decade, Mike Gamson has been heading up sales at LinkedIn. In this course, he shares his hard-won knowledge with you, to help you prepare a winning game plan for tackling your meetings with executives.",Course,2020-03-20 19:52 UTC,N/A,false,N/A,
Artist at Work: Textures,"Mary Jane Begin is back with more from the <em>Artist at Work</em> series. This installment focuses on adding texture to your imagery—visual texture that breaks up repetitive strokes and static blocks of color—with pattern, color, light, and a variety of brush strokes. Mary Jane takes an early-stage illustration from her book series Willow Buds and shows how to add variation, contrast, and a tactile quality to trees and grass, water, and the sky. These lessons are useful whether you're working with traditional media like the watercolors Mary Jane uses in this course, or digital formats like Adobe Illustrator and Photoshop.<br><br>Mary Jane uses the following materials in this course:
<ul>
<li>Arches 140 lb hot press paper</li>
<li>Tube watercolors- Winsor & Newton Cotman brand</li>
<li>Paper stumps for blending</li>
<li>Pastels- a variety of stick and pencil forms (including Conte pastel pencils) </li>
<li>Short, fat, fine-bristle Winsor & Newton #2 and #4 brushes (for scrubbing color off) </li>
<li>Sceptre Gold II sable/synthetic blend #3, #6, and #10 brushes</li>
<li>Winsor & Newton Cotman brand 25 mm/1 in. flat brush (for washes) </li>
</ul>",Course,2020-02-03 23:19 UTC,N/A,false,N/A,
